28, 9, 25, 36, 26, 21, 18, -8, 
7, 28, 0, 20, 6, 0, -32, 26, 
-31, -10, 52, 15, 56, -3, -9, -22, 
-20, -7, -22, 7, -10, -36, 3, 22, 
-32, -7, -11, 35, 7, 5, 8, -21, 
-51, 36, 11, -7, 23, 0, 10, -23, 
25, 0, 25, -22, 25, 9, -37, -22, 
-21, 7, 27, -17, -26, 10, 20, 9, 
-2, 10, -31, -25, -21, 29, 16, 4, 
6, -27, 4, 27, -29, 20, -8, -42, 
3, 45, -14, 33, -20, 31, 1, 14, 
19, 3, 4, -45, -8, 33, -17, 6, 
25, -32, -13, 3, 27, 8, -14, -13, 
1, -27, -6, -9, -9, 46, 4, -8, 
-21, -7, 22, -6, -16, 4, -1, -8, 
-1, 17, 12, -7, -14, -6, -18, -16, 
24, -2, -22, 55, -27, 6, -30, 4, 
17, 36, 24, 3, 15, -8, 36, -31, 
16, 12, -15, 7, -35, -17, -10, 15, 
-2, -11, -8, -20, -53, 22, 9, 18, 
-15, 39, -8, 9, 30, -10, 2, -24, 
27, -19, -6, 39, 4, 9, -15, -45, 
25, 0, -5, -1, 48, 24, 16, 2, 
-25, -12, -8, 1, -17, -10, -12, -20, 
-11, 12, -17, 12, 24, 16, 12, 18, 
-32, 9, 65, -19, 7, 15, 17, -13, 
46, 6, -15, -25, -2, -1, -14, -13, 
8, -1, 9, -6, 17, -41, 0, 19, 
26, 3, -37, 12, 15, 31, 18, 7, 
-19, 2, -22, 14, -18, -5, 20, -1, 
-17, 0, 16, -40, 22, 4, 41, 14, 
0, 1, 20, 33, 10, 18, 12, -2, 
1, 0, -11, -8, 7, 18, -1, -4, 
-20, -15, -12, 19, 17, -6, 37, 26, 
-15, -2, 44, -31, -5, -19, 37, -27, 
19, 14, 39, 9, 22, 0, 29, 21, 
-7, -16, 37, -8, 12, -7, 16, -3, 
45, -13, 18, 20, 18, 28, -7, -15, 
33, -10, 13, -17, -25, 21, 0, 9, 
-11, -17, 17, -29, 7, 11, -5, -43, 
15, 20, 13, -3, -32, -2, 7, -45, 
0, -11, -5, -14, 19, -1, -13, 8, 
9, -24, 10, 37, -32, -29, -2, -19, 
2, -16, -18, -23, 6, 11, 25, -31, 
-22, 16, 0, -8, -8, 10, -32, 19, 
17, 18, 2, 14, 7, -1, 2, 12, 
8, -10, 7, 14, -2, 0, -34, -4, 
-14, 37, 17, 30, 12, 15, 4, 2, 
7, -22, -12, -7, 27, 7, -28, -6, 
34, 24, -11, -10, 16, 31, 8, -2, 
21, 16, 11, -10, 16, -26, 22, -34, 
-9, -1, 7, -26, 15, 6, 0, 0, 
-7, -9, -8, 34, 19, -1, -9, 0, 
-28, 24, -19, 9, 9, 7, -30, -11, 
-12, 12, 12, -15, 9, 19, -6, 19, 
47, -19, -5, 6, 0, 24, -5, -4, 
32, 29, 5, 19, 0, 13, 23, 11, 
-58, 41, -9, -24, 4, 0, -30, -41, 
19, -4, -19, -25, -29, 21, -28, -2, 
-21, -39, 1, -17, -51, 8, -7, -9, 
14, 1, 24, 28, 6, 34, 11, 27, 
-7, 10, -10, -29, 10, -30, 2, -3, 
11, -42, 18, -8, -31, 3, 35, -16, 
13, 8, -9, 7, -12, 6, 10, -3, 
25, 13, 3, -25, 1, 18, -17, -17, 
12, -8, -2, 20, -29, -19, -6, -7, 
20, -1, 22, 0, 7, 33, 6, 14, 
32, -11, -3, 24, -3, 34, -32, -8, 
0, 7, 3, -25, -26, 0, 41, -35, 
4, 15, 0, -22, -13, 15, 7, 5, 
10, 6, 26, -27, -21, 11, 7, 13, 
-16, 11, 6, -31, -17, -26, 13, -11, 
0, -22, -3, -15, -21, -1, -36, 9, 
3, 21, 18, 1, -15, 10, 31, -12, 
-14, -11, 0, -5, -9, -3, -3, -18, 
-27, 23, -18, 13, 33, -4, -40, 18, 
-54, 9, -14, 23, 5, -18, 16, -14, 
29, -1, -4, 8, -10, 5, 2, 18, 
-11, -24, -5, 20, 5, -38, 6, 5, 
-14, 21, -12, -64, 17, 11, 22, -9, 
