4, 0, 7, 0, 16, -3, -7, 41, 
1, 19, -3, 14, 2, -13, 3, 0, 
37, 4, -28, 1, 1, -3, 12, 31, 
4, 10, 8, 22, 2, 9, 9, 7, 
4, 1, 3, 8, 3, 8, 4, 13, 
-38, 32, 54, 19, 1, 4, 35, -26, 
-1, 12, 1, 4, 6, 32, 0, 19, 
-6, -6, 36, 9, 1, 20, 9, -3, 
16, -17, 21, 1, 12, 32, 25, 16, 
-9, 11, 14, 1, -7, 8, 16, 3, 
53, 1, -3, 6, 6, 2, 1, 9, 
-6, 3, -26, 32, -8, 2, 1, 5, 
-30, 0, 23, 22, 2, 2, -12, -22, 
3, -1, 9, 3, 4, -7, 13, 0, 
16, 0, -23, -19, 1, 7, 0, 37, 
9, 6, -24, 7, -50, -3, -2, -16, 
14, 18, 3, 0, 4, 16, 23, -2, 
0, 2, 3, -5, -11, 6, 7, 1, 
1, 7, 1, 12, 2, 0, -37, 6, 
18, 5, 20, 11, -3, -26, 18, 2, 
0, 17, 14, 22, 12, -2, 2, 19, 
3, 5, 2, 5, 1, 9, -13, -9, 
20, -6, 2, -7, 13, 1, 3, 1, 
12, 13, 2, 0, 2, 2, 10, 1, 
-6, -3, -2, -4, 8, 11, -13, -2, 
6, 15, 16, -7, 2, 26, 5, 12, 
-19, -17, 21, 20, -20, 11, -10, 11, 
-1, 0, 10, 0, -5, -4, 3, -1, 
8, 9, 3, -14, 5, 0, 6, 27, 
46, -2, 4, 10, 0, 18, -2, 0, 
29, 10, 2, 18, -14, 23, -18, 16, 
-3, 72, 40, 6, 5, 3, 0, 22, 
4, -12, -8, 1, 1, 0, 8, 5, 
0, 17, -3, 1, -2, -4, 1, 25, 
-19, 12, -17, 3, 0, 5, -8, 0, 
24, 74, -13, 8, 20, -37, -12, 67, 
-2, 4, 8, 0, 16, 2, 1, -19, 
8, -1, 5, 0, 1, 7, 36, 0, 
3, 19, 17, 9, -15, -8, 1, 4, 
-12, -15, 10, -32, 24, -65, 13, 19, 
0, 1, -20, 0, 16, 4, 0, 6, 
0, 1, 1, 0, -9, -5, 5, -14, 
-5, 7, 8, -5, 31, 9, 6, 7, 
19, 7, 17, 3, -5, 3, -12, -3, 
-13, 7, -12, 0, -6, 9, -40, 2, 
5, 0, 1, -8, 3, 3, -18, 2, 
0, 2, 16, 39, 11, 9, -10, 13, 
2, 30, 9, 2, 12, 8, 2, 21, 
1, 9, 3, 17, -8, -9, 28, 1, 
0, 17, 25, 0, 3, 1, 0, 5, 
0, 2, -3, -12, 19, -23, 18, -11, 
2, 2, 2, 8, 4, 6, 10, -17, 
5, 5, -10, -8, 12, -27, 2, 9, 
12, -5, 9, -6, -3, -9, 1, 38, 
9, 12, 29, 0, 8, 7, 10, 1, 
2, 23, 7, -2, -18, 0, -14, -10, 
4, 13, 1, 19, -15, 15, 7, 20, 
5, 18, 5, 6, -2, 0, 9, 54, 
-14, 0, 16, 24, -7, -26, 0, 11, 
5, 2, 4, 5, 27, -3, 27, -18, 
7, 18, 0, -1, 4, 11, 49, 13, 
1, 24, 7, 9, 7, 17, 5, 5, 
-9, 10, 5, 5, 8, 3, 0, 20, 
-35, 16, 1, -18, 2, 20, 11, 2, 
-16, 11, -19, 4, -18, 2, -15, -8, 
6, 0, 0, 2, 7, 21, 26, 22, 
-1, 12, 12, 37, 3, -2, -5, 10, 
0, 26, 15, 28, 36, -3, 7, 10, 
3, 36, 0, 2, -11, -2, -20, 2, 
22, -8, 2, -9, 6, -9, 20, 2, 
16, 7, 9, 14, 8, 1, 17, 11, 
1, -2, 2, 0, -5, 8, 1, 8, 
0, 0, -6, -6, 0, -23, -10, 68, 
27, -8, 14, 2, 3, 0, 4, 14, 
8, 7, 1, 7, -2, 0, 2, 3, 
4, 16, 17, 10, -5, 11, -4, 0, 
-1, 21, 0, 8, 26, 34, -4, 2, 
2, 11, 11, -2, 11, 5, 11, 1, 
4, -11, 0, 4, 49, 16, 3, 1, 
-30, 8, 27, 6, -7, 0, 2, 4, 
10, 16, -29, 11, 4, 1, 5, 0, 
6, 12, 7, 1, -3, 11, 4, 0, 
3, 13, -2, 0, 9, -50, 4, 11, 
8, -12, -12, 9, 7, 12, 20, 2, 
3, 3, -11, -25, 10, -20, -8, 10, 
-9, -1, -1, 3, 9, 13, 34, 33, 
19, 0, 2, 3, -15, 5, 6, 9, 
-42, 8, 10, -2, 2, 6, 35, -7, 
1, -3, 7, -19, 2, 2, 7, 0, 
0, 9, 16, 29, 0, 2, -15, 5, 
